,week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,cumulative_weeks_in_top_10,id,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes
749,2022-06-26,TV (English),9,First Kill,First Kill: Season 1,18550000,3,ts255888,SHOW,"Falling in love is tricky for teens Juliette and Calliope: One's a vampire, the other's a vampire hunter — and both are ready to make their first kill.",2022.0,TV-MA,49.0,"['thriller', 'drama', 'fantasy', 'horror']",['US'],1.0,tt13315156,6.4,23605.0
750,2022-06-26,TV (English),10,Man Vs Bee,Man Vs Bee: Season 1,18210000,1,,,,,,,,,,,,
751,2022-06-26,TV (Non-English),1,Money Heist: Korea - Joint Economic Area,Money Heist: Korea - Joint Economic Area: Season 1,33740000,1,,,,,,,,,,,,
752,2022-06-26,TV (Non-English),2,Intimacy,Intimacy: Season 1,16560000,3,ts292696,SHOW,"A compromising sexual video featuring a promising politician, it depicts the lives of four women forced to walk the line between public and private life.",2022.0,TV-MA,48.0,"['crime', 'drama', 'thriller']",['ES'],1.0,tt14463542,6.8,1674.0
753,2022-06-26,TV (Non-English),3,"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",12570000,28,,,,,,,,,,,,
754,2022-06-26,TV (Non-English),4,"Malverde, el santo patrón","Malverde, el santo patrón: Season 1",11590000,3,,,,,,,,,,,,
755,2022-06-26,TV (Non-English),5,Café con aroma de mujer,Café con aroma de mujer: Season 1,10820000,19,,,,,,,,,,,,
756,2022-06-26,TV (Non-English),6,The War Next-door,The War Next-door: Season 2,10150000,2,ts296179,SHOW,"When two antagonistic families end up living next door in a posh neighborhood, the matriarchs ensue a full-scale war of unintended consequences.",2021.0,TV-MA,33.0,['comedy'],['MX'],2.0,tt14821886,5.7,444.0
757,2022-06-26,TV (Non-English),7,She,She: Season 2,9490000,1,ts235672,SHOW,An undercover assignment to expose a drug ring becomes a timid Mumbai constable's road to empowerment as she realizes her dormant sexuality's potential.,2020.0,,40.0,"['drama', 'crime']",['IN'],2.0,,,
758,2022-06-26,TV (Non-English),8,Our Blues,Our Blues: Season 1,9250000,9,ts312984,SHOW,Romance is sweet and bitter — and life riddled with ups and downs — in multiple stories about people who live and work on bustling Jeju island.,2022.0,TV-MA,66.0,['drama'],['KR'],1.0,tt19115260,8.5,1150.0
759,2022-06-26,TV (Non-English),9,SPRIGGAN,SPRIGGAN: Season 1,9120000,1,,,,,,,,,,,,
760,2022-06-26,TV (Non-English),10,Maldivas,Maldivas: Season 1,8460000,2,ts276067,SHOW,"To investigate a mystery, a young woman moves into a posh condo community, where she comes into contact with its quirky - and suspicious - residents.",2022.0,TV-MA,36.0,"['comedy', 'drama']",['BR'],1.0,tt13561292,5.6,961.0
761,2022-06-19,Films (English),1,Hustle,,57190000,2,tm1126268,MOVIE,A basketball scout discovers a phenomenal street ball player while in Spain and sees the prospect as his opportunity to get back into the NBA.,2022.0,R,117.0,"['drama', 'sport', 'comedy']",['US'],,tt8009428,7.4,89770.0
762,2022-06-19,Films (English),2,Spiderhead,,35400000,1,tm1020438,MOVIE,"In the near future, convicts are offered the chance to volunteer as medical subjects to shorten their sentence. One such subject for a new drug capable of generating feelings of love begins questioning the reality of his emotions.",2022.0,R,106.0,"['scifi', 'thriller', 'drama', 'action', 'crime']",['US'],,tt9783600,5.4,43239.0
763,2022-06-19,Films (English),3,Chickenhare and the Hamster of Darkness,,23750000,2,tm1094217,MOVIE,"Follows a young hero born half chicken and half hare. Eager to fit in and feel loved in spite of his differences, he is obsessed by adventuring in spite of his clumsiness.",2022.0,,91.0,"['animation', 'comedy', 'family', 'romance', 'fantasy']","['BE', 'FR']",,tt12532368,6.3,1303.0
764,2022-06-19,Films (English),4,Halftime,,18880000,1,,,,,,,,,,,,
765,2022-06-19,Films (English),5,Interceptor,,13110000,3,tm1044289,MOVIE,A U.S. Army Captain uses her years of tactical training to save humanity from sixteen nuclear missiles launched at the U.S. as a violent attack threatens her remote missile interceptor station.,2022.0,PG-13,98.0,"['thriller', 'action', 'drama']",['AU'],,tt14174940,4.5,20007.0
766,2022-06-19,Films (English),6,Collision,,12960000,1,tm1210379,MOVIE,"Over the course of one fateful day, a corrupt businessman and his socialite wife race to save their daughter from a notorious crime lord.",2022.0,,99.0,"['drama', 'crime', 'thriller']",['ZA'],,tt10809742,3.9,886.0
767,2022-06-19,Films (English),7,Trees of Peace,,9380000,1,tm1047503,MOVIE,"In April of 1994, four women from different backgrounds and beliefs are trapped and hiding during the Rwandan genocide. Their fight for survival against all odds unites the women in an unbreakable sisterhood.",2021.0,NC-17,97.0,['drama'],['US'],,tt11316680,6.4,1104.0
768,2022-06-19,Films (English),8,Sonic the Hedgehog,,4570000,8,,,,,,,,,,,,
769,2022-06-19,Films (English),9,A Perfect Pairing,,4440000,5,tm1196705,MOVIE,It follows a hard-driving LA wine-company executive who travels to an Australian sheep station to land a major client and there she ends up working as a ranch hand and sparking with a rugged local.,2022.0,,101.0,"['comedy', 'romance']","['US', 'AU']",,tt15215512,6.1,9742.0
770,2022-06-19,Films (English),10,Senior Year,,4200000,6,tm1165462,MOVIE,A thirty-seven-year-old woman wakes up from a twenty-year coma and returns to the high school where she was once a popular cheerleader to finish her senior year and become prom queen. The main plot is the empowerment of LGBTQ rights and progress through the years.,2022.0,R,112.0,"['comedy', 'drama']",['US'],,tt5315212,5.5,34419.0
771,2022-06-19,Films (Non-English),1,The Wrath of God,,17230000,1,tm1180610,MOVIE,"Convinced the tragic deaths of her loved ones were orchestrated by a famous novelist she worked for, Luciana turns to a journalist to expose her truth.",2022.0,,97.0,"['thriller', 'drama']",['AR'],,tt15189534,5.7,2800.0
772,2022-06-19,Films (Non-English),2,Centauro,,13870000,1,tm1219505,MOVIE,"Rafa's hooked on the pure, fiery feelings he gets from speed racing, but when his kid's mom gets mixed up with drug dealers, he burns rubber to save her.",2022.0,,89.0,"['action', 'crime', 'thriller']",[],,,,
773,2022-06-19,Films (Non-English),3,Heart Parade,,12400000,1,tm1219931,MOVIE,"A careerist from Warsaw, who does not like dogs, has to go to Kraków for professional reasons, where she meets a charming widower, his son and their four-legged pet.",2022.0,,108.0,"['comedy', 'romance']",['PL'],,tt20597408,4.9,477.0
774,2022-06-19,Films (Non-English),4,CBI 5: The Brain,,6090000,2,tm448707,MOVIE,"Series of bucket-killing murders happening in the city. Failure to resolve by police, a team of CBI Officers under CBI officer Sethurama Iyer take up the investigation to resolve the never experienced mystery.",2022.0,,163.0,"['thriller', 'crime']",['IN'],,tt7311164,6.3,1394.0
