,week,category,weekly_rank,weekly_hours_viewed,cumulative_weeks_in_top_10,Show_title,type,description,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes
2438,2021-09-05,TV (English),2,37580000,1,good girls,SHOW,"Three ""good girl"" suburban wives and mothers suddenly find themselves in desperate circumstances and decide to stop playing it safe and risk everything to take their power back.",2018.0,TV-14,42.0,"['drama', 'crime', 'comedy']",['US'],tt6474378,7.7,50919.0
2439,2021-09-05,TV (English),3,24050000,1,turning point: 9/11 and the war on terror,SHOW,"Modern history can be divided into two time frames: before 9/11 and after 9/11. This five-part docuseries is a cohesive chronicle of the September 11, 2001 attacks on the U.S., offering illuminating perspectives and personal stories of how the catastrophic events of that day changed the course of the nation.",2021.0,TV-14,62.0,"['war', 'history', 'documentation']",['US'],tt15260794,8.0,9132.0
2440,2021-09-05,TV (English),4,15660000,2,manifest,SHOW,"After landing from a turbulent but routine flight, the crew and passengers of Montego Air Flight 828 discover five years have passed in what seemed like a few hours. As their new realities become clear, a deeper mystery unfolds and some of the returned passengers soon realize they may be meant for something greater than they ever thought possible.",2018.0,TV-14,42.0,"['drama', 'thriller', 'scifi']",['US'],tt8421350,7.1,53185.0
2441,2021-09-05,TV (English),5,13590000,1,the 100,SHOW,"100 years in the future, when the Earth has been abandoned due to radioactivity, the last surviving humans live on an ark orbiting the planet — but the ark won't last forever. So the repressive regime picks 100 expendable juvenile delinquents to send down to Earth to see if the planet is still habitable.",2014.0,TV-14,42.0,"['scifi', 'drama', 'action']",['US'],tt2661044,7.6,245631.0
2442,2021-09-05,TV (English),6,12910000,6,outer banks,SHOW,"A tight-knit group of teens unearths a long-buried secret, setting off a chain of illicit events that takes them on an adventure they'll never forget.",2020.0,TV-MA,49.0,"['thriller', 'action', 'drama', 'romance', 'crime']",['US'],tt10293938,7.5,45815.0
2443,2021-09-05,TV (English),7,11050000,4,cocomelon,series,"In the town of Cocomelon, baby JJ and his siblings go on fun every-day adventures with nursery, play, exploration, and learning - situations that any preschooler could relate to. Fun, relatable stories set to toe-tapping songs.",2018–2022,TV-PG,N/A,"Animation, Family",United States,tt12427840,4.7,653
2444,2021-09-05,TV (English),8,10320000,6,manifest,SHOW,"After landing from a turbulent but routine flight, the crew and passengers of Montego Air Flight 828 discover five years have passed in what seemed like a few hours. As their new realities become clear, a deeper mystery unfolds and some of the returned passengers soon realize they may be meant for something greater than they ever thought possible.",2018.0,TV-14,42.0,"['drama', 'thriller', 'scifi']",['US'],tt8421350,7.1,53185.0
2445,2021-09-05,TV (English),9,9590000,1,good girls,SHOW,"Three ""good girl"" suburban wives and mothers suddenly find themselves in desperate circumstances and decide to stop playing it safe and risk everything to take their power back.",2018.0,TV-14,42.0,"['drama', 'crime', 'comedy']",['US'],tt6474378,7.7,50919.0
2446,2021-09-05,TV (English),10,9140000,1,cocomelon,series,"In the town of Cocomelon, baby JJ and his siblings go on fun every-day adventures with nursery, play, exploration, and learning - situations that any preschooler could relate to. Fun, relatable stories set to toe-tapping songs.",2018–2022,TV-PG,N/A,"Animation, Family",United States,tt12427840,4.7,653
2447,2021-09-05,TV (Non-English),1,201910000,1,money heist,SHOW,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.,2017.0,TV-MA,49.0,"['thriller', 'action', 'crime', 'drama', 'european']",['ES'],tt6468322,8.2,461688.0
2448,2021-09-05,TV (Non-English),2,22710000,1,money heist,SHOW,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.,2017.0,TV-MA,49.0,"['thriller', 'action', 'crime', 'drama', 'european']",['ES'],tt6468322,8.2,461688.0
2449,2021-09-05,TV (Non-English),3,19170000,2,d.p.,SHOW,A young private’s assignment to capture army deserters reveals the painful reality endured by each enlistee during his compulsory call of duty.,2021.0,TV-MA,55.0,"['drama', 'action', 'comedy']",['KR'],tt13024974,8.2,"5,531"
2450,2021-09-05,TV (Non-English),4,14870000,1,money heist,SHOW,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.,2017.0,TV-MA,49.0,"['thriller', 'action', 'crime', 'drama', 'european']",['ES'],tt6468322,8.2,461688.0
2451,2021-09-05,TV (Non-English),5,11530000,6,the snitch cartel: origins,SHOW,"In Cali during the '60s and '70s, two brothers juggle family, romance and the joint pursuit of a burning ambition: to rule Colombia's drug industry.",2021.0,TV-MA,47.0,"['crime', 'drama']",['CO'],tt14417802,5.6,189.0
2453,2021-09-05,TV (Non-English),7,9630000,1,hometown cha-cha-cha,SHOW,"A big-city dentist opens up a practice in a close-knit seaside village, home to a charming jack-of-all-trades who is her polar opposite in every way.",2021.0,TV-14,78.0,"['comedy', 'romance', 'drama']",['KR'],tt14518756,8.4,11060.0
2454,2021-09-05,TV (Non-English),8,9010000,9,carrossel,series,"The adventures of a group of schoolchildren, taught and guided by a sweet-hearted, careful teacher.",2012–,TV-G,N/A,"Adventure, Comedy, Drama",Brazil,tt2215338,6.7,305
2455,2021-09-05,TV (Non-English),9,7200000,2,"yo soy betty, la fea",series,"An outcast in a prominent fashion company, a sweet-hearted and unattractive assistant falls hopelessly in love with her boss.",1999–2001,TV-PG,30 min,"Comedy, Drama, Romance",Colombia,tt0233127,8.2,"3,286"
2456,2021-09-05,TV (Non-English),10,7070000,1,money heist,SHOW,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.,2017.0,TV-MA,49.0,"['thriller', 'action', 'crime', 'drama', 'european']",['ES'],tt6468322,8.2,461688.0
2457,2021-08-29,Films (English),1,48140000,2,sweet girl,MOVIE,A devastated husband vows to bring justice to the people responsible for his wife's death while protecting the only family he has left: his daughter.,2021.0,R,110.0,"['action', 'drama', 'thriller']",['US'],tt10731768,5.5,31312.0
2458,2021-08-29,Films (English),2,42810000,1,he's all that,MOVIE,"To get revenge on her ex-boyfriend, an influencer attempts to transform an unpopular classmate into prom king.",2021.0,R,91.0,"['comedy', 'romance']",['US'],tt4590256,4.3,24253.0
2460,2021-08-29,Films (English),4,16910000,2,the loud house movie,MOVIE,The Loud family travel to Scotland and discover they are descendants of Scottish royalty as they move into their giant ancestral castle.,2021.0,G,83.0,"['comedy', 'action', 'family', 'animation', 'fantasy', 'drama', 'music', 'thriller']",['US'],tt6714432,6.1,2027.0
2461,2021-08-29,Films (English),5,13720000,1,the old ways,MOVIE,"Cristina, a journalist of Mexican origin, travels to her ancestral home in Veracruz to investigate a story of sorcery and healing. There, she is kidnapped by a group of locals who claim she's the devil incarnated.",2020.0,R,90.0,"['fantasy', 'horror', 'thriller', 'drama']",['US'],tt12829958,5.4,6035.0
2462,2021-08-29,Films (English),6,13430000,4,vivo,MOVIE,A music-loving kinkajou named Vivo embarks on the journey of a lifetime to fulfill his destiny and deliver a love song for an old friend.,2021.0,PG,103.0,"['family', 'comedy', 'animation', 'drama']",['US'],tt6338498,6.7,18238.0
2464,2021-08-29,Films (English),8,10860000,2,the secret life of pets,movie,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",2016,PG,87 min,"Animation, Adventure, Comedy","United States, Japan",tt2709768,6.5,"202,619"
